Tanggal;Harga
2021-04-01;27970
2021-04-02;27730
2021-04-03;27770
2021-04-04;27730
2021-04-05;27530
2021-04-06;27890
2021-04-07;27550
2021-04-08;27860
2021-04-09;27550
2021-04-10;27180
2021-04-11;27630
2021-04-12;27280
2021-04-13;26960
2021-04-14;26890
2021-04-15;26820
2021-04-16;26480
2021-04-17;26800
2021-04-18;26820
2021-04-19;26590
2021-04-20;26690
2021-04-21;26540
2021-04-22;26380
2021-04-23;26190
2021-04-24;26200
2021-04-25;25960
2021-04-26;25710
2021-04-27;25800
2021-04-28;25740
2021-04-29;25470
2021-04-30;25370
2021-05-01;25420
2021-05-02;25280
2021-05-03;25500
2021-05-04;25510
2021-05-05;25040
2021-05-06;25450
2021-05-07;25820
2021-05-08;25610
2021-05-09;26150
2021-05-10;25930
2021-05-11;26080
2021-05-12;26260
2021-05-13;26660
2021-05-14;26140
2021-05-15;26500
2021-05-16;26300
2021-05-17;25940
2021-05-18;25650
2021-05-19;26230
2021-05-20;25670
2021-05-21;25760
2021-05-22;26030
2021-05-23;25680
2021-05-24;25500
2021-05-25;25280
2021-05-26;25780
2021-05-27;25300
2021-05-28;25470
2021-05-29;24940
2021-05-30;25240
2021-05-31;24910
2021-06-01;24980
2021-06-02;24730
2021-06-03;24560
2021-06-04;24770
2021-06-05;24760
2021-06-06;24750
2021-06-07;24560
2021-06-08;24450
2021-06-09;24240
2021-06-10;24520
2021-06-11;24550
2021-06-12;24540
2021-06-13;24290
2021-06-14;24030
2021-06-15;24240
2021-06-16;23790
2021-06-17;24050
2021-06-18;23560
2021-06-19;24170
2021-06-20;23980
2021-06-21;24190
2021-06-22;24550
2021-06-23;25180
2021-06-24;25420
2021-06-25;25560
2021-06-26;26270
2021-06-27;26130
2021-06-28;26110
2021-06-29;26310
2021-06-30;26180
2021-07-01;26240
2021-07-02;26890
2021-07-03;26490
2021-07-04;26350
2021-07-05;26490
2021-07-06;26780
2021-07-07;26510
2021-07-08;26870
2021-07-09;26730
2021-07-10;26840
2021-07-11;27220
2021-07-12;27190
2021-07-13;27670
2021-07-14;27470
2021-07-15;27550
2021-07-16;27370
2021-07-17;27300
2021-07-18;27300
2021-07-19;27510
2021-07-20;28050
2021-07-21;28990
2021-07-22;28980
2021-07-23;28980
2021-07-24;29260
2021-07-25;29570
2021-07-26;30860
2021-07-27;31190
2021-07-28;31220
2021-07-29;31440
2021-07-30;31300
2021-07-31;31320
2021-08-01;31390
2021-08-02;31520
2021-08-03;30960
2021-08-04;30970
2021-08-05;30500
2021-08-06;30000
2021-08-07;30140
2021-08-08;29360
2021-08-09;28530
2021-08-10;28300
2021-08-11;28140
2021-08-12;27160
2021-08-13;27100
2021-08-14;26550
2021-08-15;26210
2021-08-16;24960
2021-08-17;25200
2021-08-18;24720
2021-08-19;24390
2021-08-20;23810
2021-08-21;23510
2021-08-22;23240
2021-08-23;22430
2021-08-24;22910
2021-08-25;22430
2021-08-26;22090
2021-08-27;22060
2021-08-28;21390
2021-08-29;20940
2021-08-30;21270
2021-08-31;21080
2021-09-01;21380
2021-09-02;21150
2021-09-03;21740
2021-09-04;22000
2021-09-05;21980
2021-09-06;21870
2021-09-07;21760
2021-09-08;21880
2021-09-09;21670
2021-09-10;21870
2021-09-11;22070
2021-09-12;21860
2021-09-13;22340
2021-09-14;22050
2021-09-15;21990
2021-09-16;22120
2021-09-17;21850
2021-09-18;21920
2021-09-19;21660
2021-09-20;21780
2021-09-21;22050
2021-09-22;21760
2021-09-23;22020
2021-09-24;22100
2021-09-25;21820
2021-09-26;21770
2021-09-27;21360
2021-09-28;21400
2021-09-29;21290
2021-09-30;21880
2021-10-01;21150
2021-10-02;21600
2021-10-03;21780
2021-10-04;21560
2021-10-05;21350
2021-10-06;21990
2021-10-07;21620
2021-10-08;21640
2021-10-09;22120
2021-10-10;21670
2021-10-11;22350
2021-10-12;22096
2021-10-13;22860
2021-10-14;23090
2021-10-15;22870
2021-10-16;22910
2021-10-17;22660
2021-10-18;22940
2021-10-19;22830
2021-10-20;22850
2021-10-21;23010
2021-10-22;23180
2021-10-23;22790
2021-10-24;23070
2021-10-25;23110
2021-10-26;22800
2021-10-27;22600
2021-10-28;23050
2021-10-29;22750
2021-10-30;22710
2021-10-31;22390
2021-11-01;21740
2021-11-02;21890
2021-11-03;21260
2021-11-04;21270
2021-11-05;21410
2021-11-06;21630
2021-11-07;21390
2021-11-08;21000
2021-11-09;21530
2021-11-10;21200
2021-11-11;21090
2021-11-12;21790
2021-11-13;21040
2021-11-14;20910
2021-11-15;20170
2021-11-16;20450
2021-11-17;20370
2021-11-18;20320
2021-11-19;20460
2021-11-20;19890
2021-11-21;19740
2021-11-22;19670
2021-11-23;19720
2021-11-24;19150
2021-11-25;19630
2021-11-26;19000
2021-11-27;19080
2021-11-28;19250
2021-11-29;18880
2021-11-30;18460
2021-12-01;18250
2021-12-02;19170
2021-12-03;19100
2021-12-04;18970
2021-12-05;19380
2021-12-06;19840
2021-12-07;19990
2021-12-08;20630
2021-12-09;20160
2021-12-10;20270
2021-12-11;20380
2021-12-12;20800
2021-12-13;21130
2021-12-14;21380
2021-12-15;21960
2021-12-16;21630
2021-12-17;21490
2021-12-18;21750
2021-12-19;21410
2021-12-20;22900
2021-12-21;22690
2021-12-22;23030
2021-12-23;23060
2021-12-24;23380
2021-12-25;22960
2021-12-26;23290
2021-12-27;23480
2021-12-28;23170
2021-12-29;22930
2021-12-30;23190
2021-12-31;23610
2022-01-01;23120
2022-01-02;23770
2022-01-03;23390
2022-01-04;23710
2022-01-05;23330
2022-01-06;23390
2022-01-07;23100
2022-01-08;22820
2022-01-09;22300
2022-01-10;22410
2022-01-11;22740
2022-01-12;22880
2022-01-13;22490
2022-01-14;22960
2022-01-15;22980
2022-01-16;22480
2022-01-17;22040
2022-01-18;22470
2022-01-19;22260
2022-01-20;22090
2022-01-21;22390
2022-01-22;22600
2022-01-23;22380
2022-01-24;22230
2022-01-25;22420
2022-01-26;22840
2022-01-27;22480
2022-01-28;22100
2022-01-29;22340
2022-01-30;22260
2022-01-31;22530
2022-02-01;22620
2022-02-02;23130
2022-02-03;23180
2022-02-04;24450
2022-02-05;24600
2022-02-06;24770
2022-02-07;26150
2022-02-08;27240
2022-02-09;27360
2022-02-10;28490
2022-02-11;29260
2022-02-12;28530
2022-02-13;29030
2022-02-14;29580
2022-02-15;30420
2022-02-16;30730
2022-02-17;31110
2022-02-18;31990
2022-02-19;31720
2022-02-20;31690
2022-02-21;32590
2022-02-22;32060
2022-02-23;32050
2022-02-24;32220
2022-02-25;32360
2022-02-26;32180
2022-02-27;32310
2022-02-28;32580
2022-03-01;32150
2022-03-02;32340
2022-03-03;32520
2022-03-04;33500
2022-03-05;33410
2022-03-06;32600
2022-03-07;33150
2022-03-08;32700
2022-03-09;31980
2022-03-10;32000
2022-03-11;32090
2022-03-12;30410
2022-03-13;31230
2022-03-14;30520
2022-03-15;30700
2022-03-16;30350
2022-03-17;29650
2022-03-18;29100
2022-03-19;29770
2022-03-20;28980
2022-03-21;28290
2022-03-22;29120
2022-03-23;29000
2022-03-24;28430
2022-03-25;28180
2022-03-26;28440
2022-03-27;28510
2022-03-28;28320
2022-03-29;27160
2022-03-30;27880
2022-03-31;28270
2022-04-01;28230
2022-04-02;28530
2022-04-03;28060
2022-04-04;28320
2022-04-05;28250
2022-04-06;28050
2022-04-07;28000
2022-04-08;27950
2022-04-09;28030
2022-04-10;28160
2022-04-11;27750
2022-04-12;27480
2022-04-13;27460
2022-04-14;27000
2022-04-15;26790
2022-04-16;26790
2022-04-17;26190
2022-04-18;26550
2022-04-19;26550
2022-04-20;26360
2022-04-21;26750
2022-04-22;26960
2022-04-23;27070
2022-04-24;27280
2022-04-25;27450
2022-04-26;28320
2022-04-27;29330
2022-04-28;30220
2022-04-29;30770
2022-04-30;31030
2022-05-01;31770
2022-05-02;30660
2022-05-03;31350
2022-05-04;32050
2022-05-05;32950
2022-05-06;32130
2022-05-07;31910
2022-05-08;31640
2022-05-09;31990
2022-05-10;31790
2022-05-11;32160
2022-05-12;32140
2022-05-13;32240
2022-05-14;32390
2022-05-15;32830
2022-05-16;32690
2022-05-17;34140
2022-05-18;34640
2022-05-19;34740
2022-05-20;35300
2022-05-21;35190
2022-05-22;35490
2022-05-23;35650
2022-05-24;35650
2022-05-25;35920
2022-05-26;36010
2022-05-27;36500
2022-05-28;36320
2022-05-29;35870
2022-05-30;36110
2022-05-31;36680
2022-06-01;31840
2022-06-02;32170
2022-06-03;33240
2022-06-04;32650
2022-06-05;32410
2022-06-06;33830
2022-06-07;34420
2022-06-08;34680
2022-06-09;36240
2022-06-10;40099
2022-06-11;40538
2022-06-12;40987
2022-06-13;43678
2022-06-14;44643
2022-06-15;44921
2022-06-16;45712
2022-06-17;45894
2022-06-18;46050
2022-06-19;46221
2022-06-20;47192
2022-06-21;47184
2022-06-22;47841
2022-06-23;48405
2022-06-24;48362
2022-06-25;48680
2022-06-26;48871
2022-06-27;49493
2022-06-28;49789
2022-06-29;49945
2022-06-30;50710
2022-07-01;51467
2022-07-02;51969
2022-07-03;52949
2022-07-04;58166
2022-07-05;60024
