Tanggal;Harga
2021-04-01;24220
2021-04-02;24090
2021-04-03;24080
2021-04-04;24280
2021-04-05;24120
2021-04-06;24190
2021-04-07;24090
2021-04-08;24170
2021-04-09;24170
2021-04-10;24120
2021-04-11;24130
2021-04-12;23960
2021-04-13;23890
2021-04-14;24030
2021-04-15;24120
2021-04-16;24370
2021-04-17;23840
2021-04-18;23800
2021-04-19;23970
2021-04-20;23990
2021-04-21;23930
2021-04-22;23960
2021-04-23;23820
2021-04-24;23780
2021-04-25;23810
2021-04-26;23770
2021-04-27;23560
2021-04-28;23480
2021-04-29;23420
2021-04-30;23750
2021-05-01;23500
2021-05-02;23610
2021-05-03;23930
2021-05-04;23940
2021-05-05;23820
2021-05-06;23850
2021-05-07;23990
2021-05-08;23920
2021-05-09;24090
2021-05-10;24170
2021-05-11;24250
2021-05-12;24240
2021-05-13;24280
2021-05-14;23950
2021-05-15;24330
2021-05-16;24340
2021-05-17;23950
2021-05-18;24150
2021-05-19;24280
2021-05-20;23790
2021-05-21;23980
2021-05-22;23880
2021-05-23;23930
2021-05-24;24090
2021-05-25;23840
2021-05-26;23770
2021-05-27;23780
2021-05-28;23810
2021-05-29;23640
2021-05-30;23650
2021-05-31;23520
2021-06-01;23680
2021-06-02;23580
2021-06-03;23640
2021-06-04;23530
2021-06-05;23620
2021-06-06;23630
2021-06-07;23640
2021-06-08;23590
2021-06-09;23630
2021-06-10;23420
2021-06-11;23630
2021-06-12;23650
2021-06-13;23580
2021-06-14;23240
2021-06-15;23420
2021-06-16;23300
2021-06-17;23410
2021-06-18;23430
2021-06-19;23490
2021-06-20;23320
2021-06-21;23480
2021-06-22;23440
2021-06-23;23310
2021-06-24;23390
2021-06-25;23410
2021-06-26;23410
2021-06-27;23430
2021-06-28;23460
2021-06-29;23330
2021-06-30;23170
2021-07-01;23140
2021-07-02;23390
2021-07-03;23430
2021-07-04;23300
2021-07-05;23200
2021-07-06;23190
2021-07-07;22980
2021-07-08;23340
2021-07-09;23430
2021-07-10;23420
2021-07-11;23610
2021-07-12;23680
2021-07-13;23680
2021-07-14;23610
2021-07-15;23750
2021-07-16;23310
2021-07-17;23870
2021-07-18;23800
2021-07-19;23230
2021-07-20;23490
2021-07-21;23710
2021-07-22;23770
2021-07-23;24120
2021-07-24;23910
2021-07-25;23860
2021-07-26;24080
2021-07-27;24200
2021-07-28;24190
2021-07-29;24200
2021-07-30;24210
2021-07-31;24220
2021-08-01;24340
2021-08-02;24430
2021-08-03;24280
2021-08-04;24260
2021-08-05;24200
2021-08-06;24340
2021-08-07;24130
2021-08-08;24240
2021-08-09;24080
2021-08-10;24080
2021-08-11;23930
2021-08-12;23740
2021-08-13;23810
2021-08-14;23840
2021-08-15;23810
2021-08-16;23770
2021-08-17;23980
2021-08-18;23880
2021-08-19;23700
2021-08-20;23820
2021-08-21;23620
2021-08-22;23530
2021-08-23;23480
2021-08-24;23280
2021-08-25;23330
2021-08-26;23360
2021-08-27;23390
2021-08-28;23340
2021-08-29;23370
2021-08-30;23080
2021-08-31;23270
2021-09-01;23230
2021-09-02;23370
2021-09-03;23210
2021-09-04;23200
2021-09-05;23280
2021-09-06;23240
2021-09-07;23690
2021-09-08;23240
2021-09-09;23160
2021-09-10;23380
2021-09-11;23210
2021-09-12;23230
2021-09-13;23280
2021-09-14;23270
2021-09-15;22930
2021-09-16;23070
2021-09-17;23070
2021-09-18;23110
2021-09-19;22910
2021-09-20;22870
2021-09-21;22930
2021-09-22;22900
2021-09-23;23240
2021-09-24;22940
2021-09-25;23150
2021-09-26;23250
2021-09-27;22950
2021-09-28;23020
2021-09-29;22860
2021-09-30;23090
2021-10-01;22700
2021-10-02;22960
2021-10-03;23050
2021-10-04;22780
2021-10-05;22940
2021-10-06;22990
2021-10-07;22960
2021-10-08;22930
2021-10-09;23330
2021-10-10;23110
2021-10-11;22870
2021-10-12;22660
2021-10-13;23080
2021-10-14;23150
2021-10-15;23110
2021-10-16;23030
2021-10-17;23110
2021-10-18;22970
2021-10-19;22990
2021-10-20;22770
2021-10-21;22860
2021-10-22;23110
2021-10-23;22650
2021-10-24;22970
2021-10-25;22950
2021-10-26;22860
2021-10-27;23090
2021-10-28;23080
2021-10-29;22830
2021-10-30;23240
2021-10-31;23050
2021-11-01;22830
2021-11-02;23030
2021-11-03;22730
2021-11-04;23150
2021-11-05;23080
2021-11-06;22930
2021-11-07;22810
2021-11-08;22770
2021-11-09;22830
2021-11-10;22820
2021-11-11;22750
2021-11-12;23190
2021-11-13;23190
2021-11-14;23270
2021-11-15;22790
2021-11-16;23050
2021-11-17;22820
2021-11-18;22910
2021-11-19;23080
2021-11-20;22660
2021-11-21;22930
2021-11-22;22810
2021-11-23;22890
2021-11-24;22770
2021-11-25;22910
2021-11-26;22550
2021-11-27;22730
2021-11-28;23060
2021-11-29;22940
2021-11-30;22360
2021-12-01;22530
2021-12-02;23000
2021-12-03;22420
2021-12-04;22460
2021-12-05;22760
2021-12-06;22890
2021-12-07;22560
2021-12-08;23090
2021-12-09;22830
2021-12-10;22820
2021-12-11;22480
2021-12-12;22870
2021-12-13;22410
2021-12-14;22860
2021-12-15;23150
2021-12-16;23040
2021-12-17;22740
2021-12-18;22830
2021-12-19;23270
2021-12-20;23390
2021-12-21;23510
2021-12-22;23140
2021-12-23;23410
2021-12-24;23480
2021-12-25;23300
2021-12-26;23660
2021-12-27;23980
2021-12-28;23650
