Tanggal;Harga
2021-04-01;10180
2021-04-02;10110
2021-04-03;10180
2021-04-04;10140
2021-04-05;10090
2021-04-06;10080
2021-04-07;10120
2021-04-08;10110
2021-04-09;10120
2021-04-10;10170
2021-04-11;10200
2021-04-12;10100
2021-04-13;10100
2021-04-14;10050
2021-04-15;10080
2021-04-16;10060
2021-04-17;10070
2021-04-18;10060
2021-04-19;10040
2021-04-20;10080
2021-04-21;10060
2021-04-22;10040
2021-04-23;10060
2021-04-24;10080
2021-04-25;10070
2021-04-26;10080
2021-04-27;10130
2021-04-28;10070
2021-04-29;10130
2021-04-30;10110
2021-05-01;10080
2021-05-02;9930
2021-05-03;10180
2021-05-04;10110
2021-05-05;10110
2021-05-06;10080
2021-05-07;10080
2021-05-08;10140
2021-05-09;10000
2021-05-10;10040
2021-05-11;10060
2021-05-12;10110
2021-05-13;10070
2021-05-14;10030
2021-05-15;10090
2021-05-16;10150
2021-05-17;10130
2021-05-18;10060
2021-05-19;10120
2021-05-20;10020
2021-05-21;10090
2021-05-22;10120
2021-05-23;9900
2021-05-24;10110
2021-05-25;10040
2021-05-26;10150
2021-05-27;10070
2021-05-28;10010
2021-05-29;9960
2021-05-30;10060
2021-05-31;10000
2021-06-01;9900
2021-06-02;9940
2021-06-03;9990
2021-06-04;10060
2021-06-05;10020
2021-06-06;10000
2021-06-07;10010
2021-06-08;10020
2021-06-09;10080
2021-06-10;10040
2021-06-11;10000
2021-06-12;9990
2021-06-13;10010
2021-06-14;10000
2021-06-15;10040
2021-06-16;9980
2021-06-17;10010
2021-06-18;9980
2021-06-19;9940
2021-06-20;9960
2021-06-21;9980
2021-06-22;9990
2021-06-23;9990
2021-06-24;9940
2021-06-25;9930
2021-06-26;9860
2021-06-27;9930
2021-06-28;10060
2021-06-29;10000
2021-06-30;9960
2021-07-01;9950
2021-07-02;9960
2021-07-03;9930
2021-07-04;9900
2021-07-05;9910
2021-07-06;9960
2021-07-07;9880
2021-07-08;9950
2021-07-09;9900
2021-07-10;9890
2021-07-11;9910
2021-07-12;9920
2021-07-13;9900
2021-07-14;9890
2021-07-15;9870
2021-07-16;9910
2021-07-17;9870
2021-07-18;9840
2021-07-19;9820
2021-07-20;9720
2021-07-21;9860
2021-07-22;9890
2021-07-23;9760
2021-07-24;9810
2021-07-25;9800
2021-07-26;9870
2021-07-27;9820
2021-07-28;9780
2021-07-29;9820
2021-07-30;9820
2021-07-31;9840
2021-08-01;9800
2021-08-02;9830
2021-08-03;9830
2021-08-04;9790
2021-08-05;9810
2021-08-06;9810
2021-08-07;9820
2021-08-08;9790
2021-08-09;9810
2021-08-10;9820
2021-08-11;9880
2021-08-12;9790
2021-08-13;9830
2021-08-14;9770
2021-08-15;9780
2021-08-16;9820
2021-08-17;9790
2021-08-18;9840
2021-08-19;9890
2021-08-20;9790
2021-08-21;9880
2021-08-22;9760
2021-08-23;9820
2021-08-24;9820
2021-08-25;9790
2021-08-26;9810
2021-08-27;9830
2021-08-28;9810
2021-08-29;9810
2021-08-30;9790
2021-08-31;9770
2021-09-01;9780
2021-09-02;9780
2021-09-03;9840
2021-09-04;9780
2021-09-05;9780
2021-09-06;9830
2021-09-07;9840
2021-09-08;9780
2021-09-09;9800
2021-09-10;9760
2021-09-11;9860
2021-09-12;9820
2021-09-13;9820
2021-09-14;9730
2021-09-15;9750
2021-09-16;9810
2021-09-17;9710
2021-09-18;9770
2021-09-19;9750
2021-09-20;9750
2021-09-21;9750
2021-09-22;9790
2021-09-23;9770
2021-09-24;9840
2021-09-25;9780
2021-09-26;9760
2021-09-27;9770
2021-09-28;9680
2021-09-29;9750
2021-09-30;9790
2021-10-01;9720
2021-10-02;9800
2021-10-03;9790
2021-10-04;9750
2021-10-05;9800
2021-10-06;9820
2021-10-07;9760
2021-10-08;9790
2021-10-09;9890
2021-10-10;9840
2021-10-11;9640
2021-10-12;9259
2021-10-13;9770
2021-10-14;9790
2021-10-15;9830
2021-10-16;9800
2021-10-17;9820
2021-10-18;9810
2021-10-19;9780
2021-10-20;9850
2021-10-21;9820
2021-10-22;9790
2021-10-23;9830
2021-10-24;9730
2021-10-25;9760
2021-10-26;9780
2021-10-27;9660
2021-10-28;9780
2021-10-29;9730
2021-10-30;9720
2021-10-31;9770
2021-11-01;9700
2021-11-02;9750
2021-11-03;9760
2021-11-04;9690
2021-11-05;9720
2021-11-06;9770
2021-11-07;9700
2021-11-08;9700
2021-11-09;9840
2021-11-10;9780
2021-11-11;9760
2021-11-12;9780
2021-11-13;9880
2021-11-14;9770
2021-11-15;9780
2021-11-16;9790
2021-11-17;9840
2021-11-18;9800
2021-11-19;9790
2021-11-20;9730
2021-11-21;9810
2021-11-22;9780
2021-11-23;9800
2021-11-24;9800
2021-11-25;9820
2021-11-26;9770
2021-11-27;9770
2021-11-28;9780
2021-11-29;9810
2021-11-30;9750
2021-12-01;9790
2021-12-02;9750
2021-12-03;9820
2021-12-04;9840
2021-12-05;9750
2021-12-06;9790
2021-12-07;9820
2021-12-08;9870
2021-12-09;9780
2021-12-10;9820
2021-12-11;9800
2021-12-12;9810
2021-12-13;9720
2021-12-14;9740
2021-12-15;9800
2021-12-16;9790
2021-12-17;9840
2021-12-18;9850
2021-12-19;9840
2021-12-20;9770
2021-12-21;9770
2021-12-22;9790
2021-12-23;9850
2021-12-24;9880
2021-12-25;9840
2021-12-26;9920
2021-12-27;9860
2021-12-28;9880
2021-12-29;9870
2021-12-30;9900
2021-12-31;9870
2022-01-01;9910
2022-01-02;9880
2022-01-03;9870
2022-01-04;9920
2022-01-05;9880
2022-01-06;9870
2022-01-07;9880
2022-01-08;9820
2022-01-09;9920
2022-01-10;9960
2022-01-11;10010
2022-01-12;9920
2022-01-13;9990
2022-01-14;9950
2022-01-15;9800
2022-01-16;9960
2022-01-17;9910
2022-01-18;9940
2022-01-19;10040
2022-01-20;9950
2022-01-21;9970
2022-01-22;9900
2022-01-23;9940
2022-01-24;10050
2022-01-25;9990
2022-01-26;10020
2022-01-27;10050
2022-01-28;9980
2022-01-29;9940
2022-01-30;9940
2022-01-31;9970
2022-02-01;10060
2022-02-02;9990
2022-02-03;10020
2022-02-04;10020
2022-02-05;10020
2022-02-06;10020
2022-02-07;9980
2022-02-08;9960
2022-02-09;10050
2022-02-10;10010
2022-02-11;10080
2022-02-12;9950
2022-02-13;9940
2022-02-14;10030
2022-02-15;9940
2022-02-16;9940
2022-02-17;9990
2022-02-18;9970
2022-02-19;9980
2022-02-20;9890
2022-02-21;9980
2022-02-22;10070
2022-02-23;10050
2022-02-24;10020
2022-02-25;10080
2022-02-26;10000
2022-02-27;10020
2022-02-28;10020
2022-03-01;10010
2022-03-02;10100
2022-03-03;10030
2022-03-04;9980
2022-03-05;10050
2022-03-06;10000
2022-03-07;10120
2022-03-08;10070
2022-03-09;10080
2022-03-10;10110
2022-03-11;10100
2022-03-12;9950
2022-03-13;10070
2022-03-14;10040
2022-03-15;10040
2022-03-16;10080
2022-03-17;10030
2022-03-18;10050
2022-03-19;10110
2022-03-20;10100
2022-03-21;9990
2022-03-22;10080
2022-03-23;10080
2022-03-24;10100
2022-03-25;10080
2022-03-26;9950
2022-03-27;10060
2022-03-28;10100
2022-03-29;10070
2022-03-30;10030
2022-03-31;10040
2022-04-01;10030
2022-04-02;10140
2022-04-03;10040
2022-04-04;10060
2022-04-05;10060
2022-04-06;10070
2022-04-07;9980
2022-04-08;10060
2022-04-09;10080
2022-04-10;10090
2022-04-11;10110
2022-04-12;10010
2022-04-13;10000
2022-04-14;10040
2022-04-15;10100
2022-04-16;10100
2022-04-17;9980
2022-04-18;9990
2022-04-19;10020
2022-04-20;10050
2022-04-21;10030
2022-04-22;10080
2022-04-23;10070
2022-04-24;10060
2022-04-25;10010
2022-04-26;10050
2022-04-27;10010
2022-04-28;10060
2022-04-29;9990
2022-04-30;10070
2022-05-01;10070
2022-05-02;10000
2022-05-03;10040
2022-05-04;10040
2022-05-05;10110
2022-05-06;10070
2022-05-07;10040
2022-05-08;10050
2022-05-09;10040
2022-05-10;10050
2022-05-11;10030
2022-05-12;9960
2022-05-13;10020
2022-05-14;10000
2022-05-15;10020
2022-05-16;10000
2022-05-17;9990
2022-05-18;10020
2022-05-19;10030
2022-05-20;10030
2022-05-21;10010
2022-05-22;10040
2022-05-23;10050
2022-05-24;10010
2022-05-25;10050
2022-05-26;9910
2022-05-27;9980
2022-05-28;9980
2022-05-29;10000
2022-05-30;9950
2022-05-31;9980
2022-06-01;9470
2022-06-02;9570
2022-06-03;9530
2022-06-04;9470
2022-06-05;9370
2022-06-06;9430
2022-06-07;9440
2022-06-08;9440
2022-06-09;9490
2022-06-10;9496
2022-06-11;9496
2022-06-12;9500
2022-06-13;9509
2022-06-14;9509
2022-06-15;9506
2022-06-16;9501
2022-06-17;9502
2022-06-18;9502
2022-06-19;9502
2022-06-20;9509
2022-06-21;9502
2022-06-22;9508
2022-06-23;9505
2022-06-24;9508
2022-06-25;9508
2022-06-26;9509
2022-06-27;9505
2022-06-28;9515
2022-06-29;9517
2022-06-30;9531
2022-07-01;9524
2022-07-02;9518
2022-07-03;9519
2022-07-04;9511
2022-07-05;9517
2022-07-06;9516
2022-07-07;9510
2022-07-08;9508
2022-07-09;9515
2022-07-10;9523
2022-07-11;9516
2022-07-12;9512
2022-07-13;9501
2022-07-14;9960
2022-07-15;9900
2022-07-16;9910
2022-07-17;9860
2022-07-18;9950
2022-07-19;9980
2022-07-20;9910
2022-07-21;9930
2022-07-22;9930
2022-07-23;9940
2022-07-24;9920
2022-07-25;9910
2022-07-26;9950
2022-07-27;9840
2022-07-28;9880
2022-07-29;9880
2022-07-30;9820
2022-07-31;9920
2022-08-01;9960
2022-08-02;9940
2022-08-03;9470
2022-08-04;9890
2022-08-05;9920
2022-08-06;9910
2022-08-07;9980
2022-08-08;9990
2022-08-09;9980
2022-08-10;9950
2022-08-11;9920
2022-08-12;9960
2022-08-13;9950
2022-08-14;9950
2022-08-15;10000
2022-08-16;9980
2022-08-17;9970
2022-08-18;10000
2022-08-19;10010
2022-08-20;9980
2022-08-21;10050
2022-08-22;10120
2022-08-23;10120
2022-08-24;10080
2022-08-25;10060
2022-08-26;10040
2022-08-27;10010
2022-08-28;10110
2022-08-29;10120
2022-08-30;10100
2022-08-31;10080
2022-09-01;10100
2022-09-02;10110
2022-09-03;10150
2022-09-04;10130
2022-09-05;10200
2022-09-06;10290
2022-09-07;10200
2022-09-08;10270
2022-09-09;10210
2022-09-10;10260
2022-09-11;10240
2022-09-12;10350
2022-09-13;10250
2022-09-14;10270
2022-09-15;10310
2022-09-16;10260
2022-09-17;10300
2022-09-18;10390
2022-09-19;10310
2022-09-20;10310
2022-09-21;10290
2022-09-22;10270
2022-09-23;10300
2022-09-24;10320
2022-09-25;10280
2022-09-26;10330
2022-09-27;10290
2022-09-28;10250
2022-09-29;10330
2022-09-30;10330
2022-10-01;10360
2022-10-02;10380
2022-10-03;10330
2022-10-04;10320
2022-10-05;10300
2022-10-06;10390
2022-10-07;10360
2022-10-08;10440
2022-10-09;10360
2022-10-10;10470
2022-10-11;10400
2022-10-12;10420
2022-10-13;10490
2022-10-14;10460
2022-10-15;10500
2022-10-16;10470
2022-10-17;10490
2022-10-18;10390
2022-10-19;10450
2022-10-20;10420
2022-10-21;10430
2022-10-22;10430
2022-10-23;10450
2022-10-24;10460
2022-10-25;10470
2022-10-26;10500
2022-10-27;10450
2022-10-28;10490
2022-10-29;10440
2022-10-30;10480
2022-10-31;10540
2022-11-01;10470
2022-11-02;10530
2022-11-03;10510
2022-11-04;10480
2022-11-05;10520
2022-11-06;10470
2022-11-07;10550
2022-11-08;10530
2022-11-09;10550
2022-11-10;10520
2022-11-11;10580
2022-11-12;10580
2022-11-13;10550
2022-11-14;10490
2022-11-15;10590
2022-11-16;10560
2022-11-17;10550
2022-11-18;10570
2022-11-19;10530
2022-11-20;10540
2022-11-21;10520
2022-11-22;10540
2022-11-23;10590
2022-11-24;10550
2022-11-25;10570
2022-11-26;10620
2022-11-27;10550
2022-11-28;10520
2022-11-29;10540
2022-11-30;10630
2022-12-01;10660
2022-12-02;10600
2022-12-03;10560
