Tanggal;Harga
2021-04-01;11380
2021-04-02;11350
2021-04-03;11420
2021-04-04;11380
2021-04-05;11330
2021-04-06;11360
2021-04-07;11360
2021-04-08;11390
2021-04-09;11390
2021-04-10;11400
2021-04-11;11380
2021-04-12;11370
2021-04-13;11390
2021-04-14;11290
2021-04-15;11310
2021-04-16;11320
2021-04-17;11290
2021-04-18;11280
2021-04-19;11330
2021-04-20;11300
2021-04-21;11300
2021-04-22;11320
2021-04-23;11300
2021-04-24;11300
2021-04-25;11250
2021-04-26;11320
2021-04-27;11340
2021-04-28;11310
2021-04-29;11350
2021-04-30;11270
2021-05-01;11290
2021-05-02;11220
2021-05-03;11290
2021-05-04;11340
2021-05-05;11310
2021-05-06;11300
2021-05-07;11260
2021-05-08;11230
2021-05-09;11190
2021-05-10;11290
2021-05-11;11290
2021-05-12;11280
2021-05-13;11050
2021-05-14;11230
2021-05-15;11270
2021-05-16;11300
2021-05-17;11320
2021-05-18;11320
2021-05-19;11310
2021-05-20;11260
2021-05-21;11220
2021-05-22;11300
2021-05-23;11230
2021-05-24;11260
2021-05-25;11230
2021-05-26;11330
2021-05-27;11260
2021-05-28;11260
2021-05-29;11160
2021-05-30;11330
2021-05-31;11260
2021-06-01;11180
2021-06-02;11210
2021-06-03;11210
2021-06-04;11280
2021-06-05;11300
2021-06-06;11280
2021-06-07;11270
2021-06-08;11240
2021-06-09;11320
2021-06-10;11310
2021-06-11;11290
2021-06-12;11300
2021-06-13;11290
2021-06-14;11210
2021-06-15;11260
2021-06-16;11250
2021-06-17;11190
2021-06-18;11210
2021-06-19;11180
2021-06-20;11250
2021-06-21;11200
2021-06-22;11230
2021-06-23;11260
2021-06-24;11250
2021-06-25;11200
2021-06-26;11200
2021-06-27;11220
2021-06-28;11240
2021-06-29;11270
2021-06-30;11220
2021-07-01;11230
2021-07-02;11200
2021-07-03;11140
2021-07-04;11170
2021-07-05;11210
2021-07-06;11190
2021-07-07;11170
2021-07-08;11150
2021-07-09;11140
2021-07-10;11090
2021-07-11;11160
2021-07-12;11190
2021-07-13;11180
2021-07-14;11190
2021-07-15;11130
2021-07-16;11230
2021-07-17;11190
2021-07-18;11100
2021-07-19;11170
2021-07-20;11130
2021-07-21;11190
2021-07-22;11180
2021-07-23;11110
2021-07-24;11130
2021-07-25;11080
2021-07-26;11230
2021-07-27;11150
2021-07-28;11170
2021-07-29;11150
2021-07-30;11180
2021-07-31;11100
2021-08-01;11110
2021-08-02;11170
2021-08-03;11150
2021-08-04;11150
2021-08-05;11100
2021-08-06;11160
2021-08-07;11120
2021-08-08;11180
2021-08-09;11130
2021-08-10;11150
2021-08-11;11190
2021-08-12;11150
2021-08-13;11200
2021-08-14;11140
2021-08-15;11050
2021-08-16;11140
2021-08-17;11160
2021-08-18;11180
2021-08-19;11140
2021-08-20;11110
2021-08-21;11150
2021-08-22;11100
2021-08-23;11180
2021-08-24;11140
2021-08-25;11130
2021-08-26;11140
2021-08-27;11150
