Tanggal;Harga
2021-04-01;46780
2021-04-02;47270
2021-04-03;48050
2021-04-04;47180
2021-04-05;47930
2021-04-06;48360
2021-04-07;48310
2021-04-08;47220
2021-04-09;47660
2021-04-10;47730
2021-04-11;48100
2021-04-12;47490
2021-04-13;45890
2021-04-14;45880
2021-04-15;47240
2021-04-16;46350
2021-04-17;45410
2021-04-18;44710
2021-04-19;42150
2021-04-20;41640
2021-04-21;40120
2021-04-22;38340
2021-04-23;38390
2021-04-24;38310
2021-04-25;37490
2021-04-26;35950
2021-04-27;35990
2021-04-28;33630
2021-04-29;32520
2021-04-30;33120
2021-05-01;32930
2021-05-02;32270
2021-05-03;33590
2021-05-04;33250
2021-05-05;34240
2021-05-06;33810
2021-05-07;34130
2021-05-08;35810
2021-05-09;34640
2021-05-10;36940
2021-05-11;38090
2021-05-12;39780
2021-05-13;40250
2021-05-14;38770
2021-05-15;39510
2021-05-16;40800
2021-05-17;37180
2021-05-18;34870
2021-05-19;31750
2021-05-20;32540
2021-05-21;31380
2021-05-22;32320
2021-05-23;31560
2021-05-24;29670
2021-05-25;28880
2021-05-26;29050
2021-05-27;28950
2021-05-28;27800
2021-05-29;28380
2021-05-30;27140
2021-05-31;25550
2021-06-01;24440
2021-06-02;24550
2021-06-03;24890
2021-06-04;23780
2021-06-05;23800
2021-06-06;24300
2021-06-07;23300
2021-06-08;23610
2021-06-09;23430
2021-06-10;23130
2021-06-11;21710
2021-06-12;22590
2021-06-13;22730
2021-06-14;21880
2021-06-15;21680
2021-06-16;21190
2021-06-17;21850
2021-06-18;21490
2021-06-19;21860
2021-06-20;22210
2021-06-21;22290
2021-06-22;22380
2021-06-23;22050
2021-06-24;21840
2021-06-25;22080
2021-06-26;22500
2021-06-27;22310
2021-06-28;22780
2021-06-29;23050
2021-06-30;23090
2021-07-01;23510
2021-07-02;22910
2021-07-03;23320
2021-07-04;21840
2021-07-05;21750
2021-07-06;21050
2021-07-07;21060
2021-07-08;21810
2021-07-09;21440
2021-07-10;21950
2021-07-11;22200
2021-07-12;22010
2021-07-13;22160
2021-07-14;22330
2021-07-15;21820
2021-07-16;22040
2021-07-17;23250
2021-07-18;23210
2021-07-19;22640
2021-07-20;23130
2021-07-21;23560
2021-07-22;23570
2021-07-23;23950
2021-07-24;23430
2021-07-25;23930
2021-07-26;23270
2021-07-27;23200
2021-07-28;23050
2021-07-29;22170
2021-07-30;21730
2021-07-31;21400
2021-08-01;21790
2021-08-02;22060
2021-08-03;21630
2021-08-04;20970
2021-08-05;20660
2021-08-06;20070
2021-08-07;20770
2021-08-08;20320
2021-08-09;19530
2021-08-10;19530
2021-08-11;18560
2021-08-12;19090
2021-08-13;18690
2021-08-14;19470
2021-08-15;18800
2021-08-16;18860
2021-08-17;17650
2021-08-18;17870
2021-08-19;17560
2021-08-20;17600
2021-08-21;17690
2021-08-22;16680
2021-08-23;16480
2021-08-24;16660
2021-08-25;15050
2021-08-26;14990
2021-08-27;15070
2021-08-28;14910
2021-08-29;14710
2021-08-30;14400
2021-08-31;14420
2021-09-01;14300
2021-09-02;14300
2021-09-03;15150
2021-09-04;14590
2021-09-05;14720
2021-09-06;14620
2021-09-07;14670
2021-09-08;15660
2021-09-09;15080
2021-09-10;15310
2021-09-11;15060
2021-09-12;15870
2021-09-13;15610
