Tanggal;Harga
2021-04-01;66080
2021-04-02;63860
2021-04-03;63800
2021-04-04;63760
2021-04-05;66590
2021-04-06;68030
2021-04-07;66730
2021-04-08;66430
2021-04-09;66040
2021-04-10;65770
2021-04-11;63690
2021-04-12;62190
2021-04-13;60970
2021-04-14;61030
2021-04-15;62960
2021-04-16;61360
2021-04-17;59400
2021-04-18;54960
2021-04-19;46000
2021-04-20;45970
2021-04-21;45740
2021-04-22;42860
2021-04-23;41610
2021-04-24;41440
2021-04-25;41770
2021-04-26;42690
2021-04-27;44130
2021-04-28;44920
2021-04-29;44260
2021-04-30;45360
2021-05-01;45130
2021-05-02;44680
2021-05-03;45630
2021-05-04;46260
2021-05-05;45970
2021-05-06;46360
2021-05-07;46250
2021-05-08;47220
2021-05-09;48140
2021-05-10;49780
2021-05-11;50720
2021-05-12;51760
2021-05-13;53140
2021-05-14;51870
2021-05-15;52120
2021-05-16;52910
2021-05-17;45220
2021-05-18;41700
2021-05-19;38970
2021-05-20;38370
2021-05-21;38670
2021-05-22;38030
2021-05-23;37550
2021-05-24;34470
2021-05-25;34040
2021-05-26;33720
2021-05-27;32720
2021-05-28;32130
2021-05-29;32820
2021-05-30;32150
2021-05-31;31910
2021-06-01;32010
2021-06-02;31410
2021-06-03;30990
2021-06-04;30610
2021-06-05;30450
2021-06-06;30490
2021-06-07;30140
2021-06-08;30150
2021-06-09;29650
2021-06-10;28210
2021-06-11;28890
2021-06-12;28590
2021-06-13;28650
2021-06-14;27710
2021-06-15;27760
2021-06-16;27850
2021-06-17;28620
2021-06-18;28760
2021-06-19;30900
2021-06-20;31670
2021-06-21;33950
2021-06-22;35030
2021-06-23;35570
2021-06-24;38210
2021-06-25;39920
2021-06-26;41410
2021-06-27;41300
2021-06-28;44520
2021-06-29;45280
2021-06-30;46160
2021-07-01;47120
2021-07-02;47080
2021-07-03;45860
2021-07-04;45710
2021-07-05;47220
2021-07-06;47600
2021-07-07;49250
2021-07-08;51130
2021-07-09;51940
2021-07-10;52180
2021-07-11;52340
2021-07-12;53470
2021-07-13;56850
2021-07-14;56810
2021-07-15;55010
2021-07-16;55530
2021-07-17;56260
2021-07-18;53580
2021-07-19;55210
2021-07-20;56560
2021-07-21;55600
2021-07-22;56440
2021-07-23;55810
2021-07-24;54310
2021-07-25;52740
2021-07-26;48560
2021-07-27;48450
2021-07-28;47510
2021-07-29;45250
2021-07-30;43560
2021-07-31;41820
2021-08-01;41860
2021-08-02;38650
2021-08-03;37830
2021-08-04;36370
2021-08-05;35050
2021-08-06;32570
2021-08-07;31620
2021-08-08;30300
2021-08-09;28120
2021-08-10;27090
2021-08-11;26890
2021-08-12;25330
2021-08-13;23540
2021-08-14;23660
2021-08-15;22160
2021-08-16;20670
2021-08-17;19640
2021-08-18;18570
2021-08-19;18450
2021-08-20;18280
2021-08-21;17750
2021-08-22;17120
2021-08-23;15750
2021-08-24;15900
2021-08-25;15370
2021-08-26;15670
2021-08-27;15470
2021-08-28;15720
2021-08-29;15490
2021-08-30;15370
2021-08-31;14930
2021-09-01;14910
2021-09-02;15340
2021-09-03;15550
2021-09-04;15630
2021-09-05;15880
2021-09-06;15830
2021-09-07;15640
2021-09-08;16210
2021-09-09;15970
2021-09-10;16080
2021-09-11;15920
2021-09-12;16070
2021-09-13;16540
2021-09-14;16510
2021-09-15;16540
2021-09-16;16560
2021-09-17;16340
2021-09-18;16750
2021-09-19;16920
2021-09-20;18260
2021-09-21;18470
2021-09-22;19080
2021-09-23;18800
