Tanggal;Harga
2021-04-01;33980
2021-04-02;34000
2021-04-03;34210
2021-04-04;34310
2021-04-05;34960
2021-04-06;35360
2021-04-07;36290
2021-04-08;37140
2021-04-09;37350
2021-04-10;38200
2021-04-11;38490
2021-04-12;39780
2021-04-13;40190
2021-04-14;39930
2021-04-15;39340
2021-04-16;38620
2021-04-17;38460
2021-04-18;38360
2021-04-19;37920
2021-04-20;37620
2021-04-21;37010
2021-04-22;36870
2021-04-23;36820
2021-04-24;36700
2021-04-25;36960
2021-04-26;35750
2021-04-27;35470
2021-04-28;35040
2021-04-29;35030
2021-04-30;35270
2021-05-01;34780
2021-05-02;35360
2021-05-03;35740
2021-05-04;35690
2021-05-05;35640
2021-05-06;36130
2021-05-07;35810
2021-05-08;36230
2021-05-09;35610
2021-05-10;35790
2021-05-11;35960
2021-05-12;36470
2021-05-13;38210
2021-05-14;36630
2021-05-15;37210
2021-05-16;37300
2021-05-17;36460
2021-05-18;37150
2021-05-19;37090
2021-05-20;36810
2021-05-21;36650
2021-05-22;35660
2021-05-23;35490
2021-05-24;34770
2021-05-25;34580
2021-05-26;34260
2021-05-27;34390
2021-05-28;34250
2021-05-29;34140
2021-05-30;33790
2021-05-31;33230
2021-06-01;32980
2021-06-02;32810
2021-06-03;32760
2021-06-04;32060
2021-06-05;31810
2021-06-06;31660
2021-06-07;31610
2021-06-08;31380
2021-06-09;31010
2021-06-10;31450
2021-06-11;31620
2021-06-12;31920
2021-06-13;32050
2021-06-14;32380
2021-06-15;32310
2021-06-16;32370
2021-06-17;32450
2021-06-18;32380
2021-06-19;32790
2021-06-20;32440
2021-06-21;32450
2021-06-22;32190
2021-06-23;32170
2021-06-24;32250
2021-06-25;32250
2021-06-26;32410
2021-06-27;32140
2021-06-28;32250
2021-06-29;31690
2021-06-30;31140
2021-07-01;30510
2021-07-02;30340
2021-07-03;30440
2021-07-04;30520
2021-07-05;30230
2021-07-06;30490
2021-07-07;30040
2021-07-08;30400
2021-07-09;30580
2021-07-10;30350
2021-07-11;30390
2021-07-12;29760
2021-07-13;29200
2021-07-14;28670
2021-07-15;28440
2021-07-16;27970
2021-07-17;28730
2021-07-18;29430
2021-07-19;29880
2021-07-20;29640
2021-07-21;29970
2021-07-22;29660
2021-07-23;29470
2021-07-24;28620
2021-07-25;28990
2021-07-26;28060
2021-07-27;27390
2021-07-28;26800
2021-07-29;26890
2021-07-30;27400
2021-07-31;26860
2021-08-01;27670
2021-08-02;28760
2021-08-03;29490
2021-08-04;29970
2021-08-05;30270
2021-08-06;30400
2021-08-07;30380
2021-08-08;30300
2021-08-09;29650
2021-08-10;30540
2021-08-11;30700
2021-08-12;31470
2021-08-13;31520
2021-08-14;31440
2021-08-15;31380
2021-08-16;30850
2021-08-17;30650
2021-08-18;30160
2021-08-19;29910
2021-08-20;29620
2021-08-21;29340
2021-08-22;29400
2021-08-23;29280
2021-08-24;29230
2021-08-25;29560
2021-08-26;30000
2021-08-27;30080
2021-08-28;30440
2021-08-29;30420
2021-08-30;30840
2021-08-31;30770
2021-09-01;31390
2021-09-02;31190
2021-09-03;31490
2021-09-04;31290
2021-09-05;31240
2021-09-06;31790
2021-09-07;31930
2021-09-08;31530
2021-09-09;31650
2021-09-10;31680
2021-09-11;31710
2021-09-12;31470
2021-09-13;31480
2021-09-14;31190
2021-09-15;31060
2021-09-16;30900
2021-09-17;30820
2021-09-18;30820
2021-09-19;30850
2021-09-20;30940
2021-09-21;31180
2021-09-22;31110
2021-09-23;31080
2021-09-24;31370
2021-09-25;31400
2021-09-26;31240
2021-09-27;31300
2021-09-28;31400
2021-09-29;31130
2021-09-30;31180
2021-10-01;31100
2021-10-02;31040
2021-10-03;31040
2021-10-04;31370
2021-10-05;31240
2021-10-06;31500
2021-10-07;31820
2021-10-08;32030
2021-10-09;32070
2021-10-10;32170
2021-10-11;32850
2021-10-12;32667
2021-10-13;32170
2021-10-14;32410
2021-10-15;31690
2021-10-16;32000
2021-10-17;31790
2021-10-18;31890
2021-10-19;31720
2021-10-20;31890
2021-10-21;32140
2021-10-22;31950
2021-10-23;32760
2021-10-24;32220
2021-10-25;32390
2021-10-26;32450
2021-10-27;32560
2021-10-28;32610
2021-10-29;32810
2021-10-30;32540
2021-10-31;32350
2021-11-01;32270
2021-11-02;32480
2021-11-03;31900
2021-11-04;32340
2021-11-05;32260
2021-11-06;32250
2021-11-07;32060
2021-11-08;32220
2021-11-09;32490
2021-11-10;32440
