Tanggal;Harga
2021-04-01;109630
2021-04-02;109870
2021-04-03;109860
2021-04-04;110070
2021-04-05;109670
2021-04-06;109270
2021-04-07;109620
2021-04-08;109340
2021-04-09;110010
2021-04-10;110000
2021-04-11;109820
2021-04-12;110590
2021-04-13;109850
2021-04-14;110230
2021-04-15;110840
2021-04-16;110170
2021-04-17;110430
2021-04-18;110180
2021-04-19;110370
2021-04-20;109980
2021-04-21;110500
2021-04-22;109770
2021-04-23;110660
2021-04-24;110240
2021-04-25;110570
2021-04-26;110470
2021-04-27;110190
2021-04-28;110900
2021-04-29;110690
2021-04-30;110270
2021-05-01;110830
2021-05-02;110610
2021-05-03;110500
2021-05-04;110890
2021-05-05;110580
2021-05-06;111460
2021-05-07;110930
2021-05-08;111140
2021-05-09;111490
2021-05-10;112960
2021-05-11;114760
2021-05-12;116210
2021-05-13;116580
2021-05-14;114230
2021-05-15;114420
2021-05-16;115240
2021-05-17;115360
2021-05-18;115080
2021-05-19;114700
2021-05-20;112700
2021-05-21;112620
2021-05-22;112700
2021-05-23;111550
2021-05-24;111730
2021-05-25;111670
2021-05-26;109850
2021-05-27;111170
2021-05-28;110800
2021-05-29;111170
2021-05-30;110910
2021-05-31;110940
2021-06-01;110030
2021-06-02;110820
2021-06-03;110740
2021-06-04;110730
2021-06-05;110320
2021-06-06;110090
2021-06-07;110490
2021-06-08;110210
2021-06-09;110580
2021-06-10;110100
2021-06-11;109500
2021-06-12;110100
2021-06-13;109390
2021-06-14;109490
2021-06-15;110190
2021-06-16;110260
2021-06-17;110240
2021-06-18;110230
2021-06-19;110200
2021-06-20;110620
2021-06-21;110640
2021-06-22;110270
2021-06-23;110490
2021-06-24;109920
2021-06-25;110250
2021-06-26;110440
2021-06-27;109840
2021-06-28;110790
2021-06-29;110620
2021-06-30;110850
2021-07-01;110830
2021-07-02;110410
2021-07-03;110550
2021-07-04;110570
2021-07-05;110540
2021-07-06;110670
2021-07-07;110550
2021-07-08;111330
2021-07-09;111390
2021-07-10;111290
2021-07-11;111190
2021-07-12;111580
2021-07-13;111310
2021-07-14;111650
2021-07-15;111810
2021-07-16;111290
2021-07-17;111420
2021-07-18;111570
2021-07-19;112250
2021-07-20;110260
2021-07-21;111200
2021-07-22;110310
2021-07-23;110390
2021-07-24;110160
2021-07-25;111150
2021-07-26;110840
2021-07-27;110530
2021-07-28;110150
2021-07-29;110520
2021-07-30;110900
2021-07-31;110210
2021-08-01;110580
2021-08-02;110220
2021-08-03;110840
2021-08-04;110380
2021-08-05;110460
2021-08-06;110110
2021-08-07;110360
2021-08-08;109920
2021-08-09;110260
2021-08-10;110170
2021-08-11;110860
2021-08-12;110690
2021-08-13;110600
2021-08-14;110500
2021-08-15;110330
2021-08-16;110670
2021-08-17;110380
2021-08-18;110690
2021-08-19;111240
2021-08-20;110340
2021-08-21;110420
2021-08-22;110430
2021-08-23;110220
2021-08-24;110470
