Tanggal;Harga
2021-04-01;12200
2021-04-02;12180
2021-04-03;12140
2021-04-04;12150
2021-04-05;12160
2021-04-06;12170
2021-04-07;12140
2021-04-08;12170
2021-04-09;12140
2021-04-10;12170
2021-04-11;12150
2021-04-12;12170
2021-04-13;12160
2021-04-14;12180
2021-04-15;12160
2021-04-16;12140
2021-04-17;12140
2021-04-18;12170
2021-04-19;12150
2021-04-20;12180
2021-04-21;12170
2021-04-22;12170
2021-04-23;12140
2021-04-24;12120
2021-04-25;12130
2021-04-26;12090
2021-04-27;12110
2021-04-28;12100
2021-04-29;12120
2021-04-30;12100
2021-05-01;12140
2021-05-02;12160
2021-05-03;12100
2021-05-04;12110
2021-05-05;12140
2021-05-06;12140
2021-05-07;12160
2021-05-08;12160
2021-05-09;12200
2021-05-10;12150
2021-05-11;12170
2021-05-12;12180
2021-05-13;12120
2021-05-14;12150
2021-05-15;12180
2021-05-16;12200
2021-05-17;12190
2021-05-18;12190
2021-05-19;12160
2021-05-20;12140
2021-05-21;12180
2021-05-22;12190
2021-05-23;12200
2021-05-24;12150
2021-05-25;12150
2021-05-26;12190
2021-05-27;12160
2021-05-28;12130
2021-05-29;12130
2021-05-30;12160
2021-05-31;12080
2021-06-01;12110
2021-06-02;12090
2021-06-03;12100
2021-06-04;12120
2021-06-05;12150
2021-06-06;12130
2021-06-07;12090
2021-06-08;12100
2021-06-09;12100
2021-06-10;12100
2021-06-11;12060
2021-06-12;12040
2021-06-13;12100
2021-06-14;12060
2021-06-15;12040
2021-06-16;12080
2021-06-17;12090
2021-06-18;12070
2021-06-19;12080
2021-06-20;12060
2021-06-21;12080
2021-06-22;12070
2021-06-23;12060
2021-06-24;12040
2021-06-25;12050
2021-06-26;12060
2021-06-27;12040
2021-06-28;12020
2021-06-29;12000
2021-06-30;12010
2021-07-01;12050
2021-07-02;12030
2021-07-03;11960
2021-07-04;11940
2021-07-05;11970
2021-07-06;11960
2021-07-07;11940
2021-07-08;11980
2021-07-09;12020
2021-07-10;11970
2021-07-11;12010
2021-07-12;12010
2021-07-13;12020
2021-07-14;12040
2021-07-15;12040
2021-07-16;12010
2021-07-17;12110
2021-07-18;12040
2021-07-19;12030
2021-07-20;12060
2021-07-21;11950
2021-07-22;12000
2021-07-23;11990
2021-07-24;11970
2021-07-25;11980
2021-07-26;11950
2021-07-27;11920
2021-07-28;11910
2021-07-29;11940
2021-07-30;11960
2021-07-31;11830
2021-08-01;11880
2021-08-02;12000
2021-08-03;11990
2021-08-04;11940
2021-08-05;11970
2021-08-06;11960
2021-08-07;11950
2021-08-08;11940
2021-08-09;11990
2021-08-10;11980
2021-08-11;11960
2021-08-12;11960
2021-08-13;11950
2021-08-14;11910
2021-08-15;11950
2021-08-16;11940
2021-08-17;11940
2021-08-18;11930
2021-08-19;11960
2021-08-20;11920
2021-08-21;11900
2021-08-22;11890
2021-08-23;11970
2021-08-24;11900
2021-08-25;11970
2021-08-26;11940
2021-08-27;11940
2021-08-28;11930
2021-08-29;11890
2021-08-30;11930
2021-08-31;11940
2021-09-01;11970
2021-09-02;11970
2021-09-03;11920
2021-09-04;11900
2021-09-05;11870
2021-09-06;11990
2021-09-07;11990
2021-09-08;11880
2021-09-09;11950
2021-09-10;11940
2021-09-11;11970
2021-09-12;11970
2021-09-13;11940
2021-09-14;11920
2021-09-15;11940
2021-09-16;11900
2021-09-17;11930
2021-09-18;12090
2021-09-19;11950
2021-09-20;11930
2021-09-21;11970
2021-09-22;12050
2021-09-23;11930
2021-09-24;11950
2021-09-25;11990
2021-09-26;12020
2021-09-27;11950
2021-09-28;11960
2021-09-29;11960
2021-09-30;11920
2021-10-01;11990
2021-10-02;11930
2021-10-03;11970
2021-10-04;11970
2021-10-05;11940
2021-10-06;11920
2021-10-07;11950
2021-10-08;11970
2021-10-09;11980
2021-10-10;11920
2021-10-11;12000
2021-10-12;12032
2021-10-13;11940
2021-10-14;11940
2021-10-15;11990
2021-10-16;11960
2021-10-17;11960
2021-10-18;12000
2021-10-19;11960
2021-10-20;11980
2021-10-21;11930
2021-10-22;12020
2021-10-23;12070
2021-10-24;12040
2021-10-25;11990
2021-10-26;12060
2021-10-27;12060
2021-10-28;12050
2021-10-29;12030
2021-10-30;12040
