Tanggal;Harga
2021-04-01;10260
2021-04-02;10280
2021-04-03;10280
2021-04-04;10190
2021-04-05;10260
2021-04-06;10280
2021-04-07;10330
2021-04-08;10290
2021-04-09;10160
2021-04-10;10280
2021-04-11;10180
2021-04-12;10370
2021-04-13;10420
2021-04-14;10420
2021-04-15;10410
2021-04-16;10410
2021-04-17;10520
2021-04-18;10500
2021-04-19;10530
2021-04-20;10500
2021-04-21;10580
2021-04-22;10600
2021-04-23;10490
2021-04-24;10480
2021-04-25;10480
2021-04-26;10550
2021-04-27;10460
2021-04-28;10490
2021-04-29;10470
2021-04-30;10440
2021-05-01;10570
2021-05-02;10580
2021-05-03;10480
2021-05-04;10510
2021-05-05;10550
2021-05-06;10620
2021-05-07;10590
2021-05-08;10530
2021-05-09;10600
2021-05-10;10660
2021-05-11;10620
2021-05-12;10650
2021-05-13;10770
2021-05-14;10730
2021-05-15;10590
2021-05-16;10680
2021-05-17;10620
2021-05-18;10590
2021-05-19;10650
2021-05-20;10730
2021-05-21;10860
2021-05-22;10790
2021-05-23;10860
2021-05-24;10800
2021-05-25;10720
2021-05-26;10930
2021-05-27;10680
2021-05-28;10760
2021-05-29;10840
2021-05-30;10960
2021-05-31;11010
2021-06-01;11030
2021-06-02;11290
2021-06-03;11220
2021-06-04;11250
2021-06-05;11140
2021-06-06;11180
2021-06-07;11180
2021-06-08;11160
2021-06-09;11170
2021-06-10;10910
2021-06-11;11130
2021-06-12;11180
2021-06-13;11130
2021-06-14;11190
2021-06-15;11230
2021-06-16;11260
2021-06-17;11290
2021-06-18;11360
2021-06-19;11360
2021-06-20;11400
2021-06-21;11250
2021-06-22;11210
2021-06-23;11290
2021-06-24;11180
2021-06-25;11230
2021-06-26;11110
2021-06-27;11160
2021-06-28;11300
2021-06-29;11180
2021-06-30;11240
2021-07-01;11270
2021-07-02;11320
2021-07-03;11280
2021-07-04;11130
2021-07-05;11210
2021-07-06;11240
2021-07-07;11210
2021-07-08;11200
2021-07-09;11180
2021-07-10;10960
2021-07-11;11080
2021-07-12;11240
2021-07-13;11230
2021-07-14;11100
2021-07-15;11000
2021-07-16;10900
2021-07-17;10980
2021-07-18;11050
2021-07-19;11110
2021-07-20;11160
2021-07-21;11230
2021-07-22;11180
2021-07-23;11050
2021-07-24;11130
2021-07-25;11290
2021-07-26;11210
2021-07-27;11070
2021-07-28;11060
2021-07-29;11150
2021-07-30;11200
2021-07-31;11190
2021-08-01;11080
2021-08-02;11130
2021-08-03;11130
2021-08-04;11070
2021-08-05;11060
2021-08-06;11080
2021-08-07;11100
2021-08-08;11060
2021-08-09;11100
2021-08-10;11120
2021-08-11;11150
2021-08-12;11000
2021-08-13;11020
2021-08-14;11040
2021-08-15;11010
2021-08-16;11010
2021-08-17;11140
2021-08-18;11110
2021-08-19;11040
2021-08-20;11080
2021-08-21;10980
2021-08-22;10950
2021-08-23;11020
2021-08-24;11030
2021-08-25;11140
2021-08-26;11010
2021-08-27;11070
2021-08-28;10910
2021-08-29;11000
2021-08-30;11070
2021-08-31;10980
2021-09-01;11160
2021-09-02;11050
2021-09-03;10930
2021-09-04;11080
2021-09-05;11000
2021-09-06;11120
2021-09-07;11070
2021-09-08;10930
2021-09-09;10980
2021-09-10;10860
2021-09-11;11070
2021-09-12;10970
2021-09-13;11090
2021-09-14;11050
2021-09-15;11020
2021-09-16;10760
2021-09-17;10930
2021-09-18;10910
2021-09-19;11140
2021-09-20;10870
