Tanggal;Harga
2021-04-01;20910
2021-04-02;21200
2021-04-03;21000
2021-04-04;21180
2021-04-05;21400
2021-04-06;21480
2021-04-07;21790
2021-04-08;22560
2021-04-09;22860
2021-04-10;23220
2021-04-11;23400
2021-04-12;23850
2021-04-13;24160
2021-04-14;24080
2021-04-15;24060
2021-04-16;24050
2021-04-17;23880
2021-04-18;23800
2021-04-19;23940
2021-04-20;23990
2021-04-21;23870
2021-04-22;23680
2021-04-23;23660
2021-04-24;23180
2021-04-25;23010
2021-04-26;22500
2021-04-27;22280
2021-04-28;22170
2021-04-29;22110
2021-04-30;22180
2021-05-01;22020
2021-05-02;21910
2021-05-03;22000
2021-05-04;21950
2021-05-05;21950
2021-05-06;21920
2021-05-07;21910
2021-05-08;21920
2021-05-09;21780
2021-05-10;21860
2021-05-11;21740
2021-05-12;21990
2021-05-13;22200
2021-05-14;21870
2021-05-15;22000
2021-05-16;22040
2021-05-17;21950
2021-05-18;22030
2021-05-19;22090
2021-05-20;22240
2021-05-21;22190
2021-05-22;22180
2021-05-23;22210
2021-05-24;22270
2021-05-25;22210
2021-05-26;22170
2021-05-27;22240
2021-05-28;22420
2021-05-29;22600
2021-05-30;22630
2021-05-31;23100
2021-06-01;23260
2021-06-02;23440
2021-06-03;23500
2021-06-04;23620
2021-06-05;23550
2021-06-06;23380
2021-06-07;23400
2021-06-08;23400
2021-06-09;23440
2021-06-10;23410
2021-06-11;23370
2021-06-12;23320
2021-06-13;23380
2021-06-14;23360
2021-06-15;23310
2021-06-16;23190
2021-06-17;23050
2021-06-18;22980
2021-06-19;22930
2021-06-20;22850
2021-06-21;22650
2021-06-22;22410
2021-06-23;22240
2021-06-24;22180
2021-06-25;22060
2021-06-26;22090
2021-06-27;22220
2021-06-28;22050
2021-06-29;22190
2021-06-30;22040
2021-07-01;22080
2021-07-02;22140
2021-07-03;21940
2021-07-04;21860
2021-07-05;21680
2021-07-06;21630
2021-07-07;21440
2021-07-08;21540
2021-07-09;21470
2021-07-10;21410
2021-07-11;21530
2021-07-12;21420
2021-07-13;21390
2021-07-14;21470
2021-07-15;21690
2021-07-16;21870
2021-07-17;21850
2021-07-18;22000
2021-07-19;22480
2021-07-20;22730
2021-07-21;22550
2021-07-22;22610
2021-07-23;22790
2021-07-24;22940
2021-07-25;22890
2021-07-26;23320
2021-07-27;23450
2021-07-28;23460
2021-07-29;23520
2021-07-30;23470
2021-07-31;23430
2021-08-01;23450
2021-08-02;23590
2021-08-03;23280
2021-08-04;23230
2021-08-05;23210
2021-08-06;23190
2021-08-07;23380
2021-08-08;23210
2021-08-09;22940
2021-08-10;22980
2021-08-11;22880
2021-08-12;22530
2021-08-13;22580
2021-08-14;22510
2021-08-15;22400
2021-08-16;22040
2021-08-17;22030
2021-08-18;21980
2021-08-19;21740
2021-08-20;21740
2021-08-21;21670
2021-08-22;21520
2021-08-23;21160
2021-08-24;21090
2021-08-25;20820
2021-08-26;20730
2021-08-27;20670
2021-08-28;20570
2021-08-29;20530
2021-08-30;20320
2021-08-31;20110
2021-09-01;20230
2021-09-02;20170
2021-09-03;19960
2021-09-04;20000
2021-09-05;19840
2021-09-06;19540
2021-09-07;19370
2021-09-08;19460
2021-09-09;19190
2021-09-10;19130
2021-09-11;19290
2021-09-12;19160
2021-09-13;18750
2021-09-14;18640
2021-09-15;18470
2021-09-16;18310
2021-09-17;18330
2021-09-18;18300
2021-09-19;18340
2021-09-20;18280
2021-09-21;18260
2021-09-22;18120
2021-09-23;18270
2021-09-24;17960
2021-09-25;17890
2021-09-26;18160
2021-09-27;18090
2021-09-28;18200
2021-09-29;18560
2021-09-30;18490
2021-10-01;18530
2021-10-02;18500
2021-10-03;18610
2021-10-04;18560
2021-10-05;18500
2021-10-06;18520
2021-10-07;18270
2021-10-08;18320
2021-10-09;18250
2021-10-10;18190
2021-10-11;18260
2021-10-12;17948
2021-10-13;17950
2021-10-14;17990
2021-10-15;17960
2021-10-16;18230
2021-10-17;17880
2021-10-18;17840
2021-10-19;17810
2021-10-20;17770
2021-10-21;17740
2021-10-22;17840
2021-10-23;17920
2021-10-24;17800
2021-10-25;17880
2021-10-26;18050
2021-10-27;18080
2021-10-28;18300
2021-10-29;18420
2021-10-30;18480
2021-10-31;18610
2021-11-01;18840
2021-11-02;18970
2021-11-03;19150
2021-11-04;19560
2021-11-05;19970
2021-11-06;20380
2021-11-07;20890
2021-11-08;21700
2021-11-09;22600
2021-11-10;22920
2021-11-11;23600
2021-11-12;23540
2021-11-13;23450
2021-11-14;23420
2021-11-15;23390
2021-11-16;23110
2021-11-17;23340
2021-11-18;23220
2021-11-19;23120
2021-11-20;23020
2021-11-21;22850
2021-11-22;22570
2021-11-23;22660
2021-11-24;22540
2021-11-25;22360
2021-11-26;22220
2021-11-27;22190
2021-11-28;21980
2021-11-29;21660
2021-11-30;21490
2021-12-01;21490
2021-12-02;21310
2021-12-03;21310
2021-12-04;21200
2021-12-05;21260
2021-12-06;21050
2021-12-07;21070
2021-12-08;21070
2021-12-09;20670
2021-12-10;20610
2021-12-11;20740
2021-12-12;20920
2021-12-13;22000
2021-12-14;22550
2021-12-15;23090
2021-12-16;23560
2021-12-17;23790
2021-12-18;23960
2021-12-19;24500
2021-12-20;24780
2021-12-21;24770
